genome_id	genome_name	antibiotic	resistant_phenotype	evidence	laboratory_typing_method	testing_standard
1284829.3	Klebsiella pneumoniae VAKPC270	meropenem	Resistant	Laboratory Method		
573.24445	Klebsiella pneumoniae strain MUGSI_86	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.29968	Klebsiella pneumoniae strain Kpngiani7132509	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.24362	Klebsiella pneumoniae strain MUGSI_159	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.139	Klebsiella pneumoniae KPN2078ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
1438759.3	Klebsiella pneumoniae CHS 53	imipenem	Resistant	Laboratory Method	Broth dilution	
573.1726	Klebsiella pneumoniae strain KpVA-8	imipenem	Resistant	Laboratory Method	Disk diffusion	EUCAST
573.13365	Klebsiella pneumoniae KPN1424ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.24398	Klebsiella pneumoniae strain MUGSI_316	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.12772	Klebsiella pneumoniae strain AR_0113	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.29881	Klebsiella pneumoniae strain Kpngiani7132584	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.23213	Klebsiella pneumoniae strain KP_123	imipenem	Resistant	Laboratory Method	Disk diffusion	CLSI
573.13412	Klebsiella pneumoniae KPN1474ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.29977	Klebsiella pneumoniae strain Kpngiani7132518	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
573.29939	Klebsiella pneumoniae strain Kpngiani7132635	imipenem	Resistant	Laboratory Method	Broth dilution	EUCAST
1438740.3	Klebsiella pneumoniae CHS 34	imipenem	Resistant	Laboratory Method	Broth dilution	
573.14184	Klebsiella pneumoniae KPN475ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.67412	Klebsiella pneumoniae 20200317_MGL_39	imipenem	Resistant	Laboratory Method	Disk diffusion	CLSI, EUCAST
573.24404	Klebsiella pneumoniae strain MUGSI_34	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.1439	Klebsiella pneumoniae KPN777ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
573.13145	Klebsiella pneumoniae KPN1147ec	imipenem	Resistant	Laboratory Method	Broth dilution	CLSI
