gen	freq_resistant	freq_susceptible	odds_ratio	p_fisher	p_chi2	p_adj_fdr	significativo
KPC-2	0.1058234189104571	0.004086636697997548	28.84124649859944	1.67154489057151e-57	7.872747244308003e-53	1.370666810268638e-55	True
Escherichia coli gyrA conferring resistance to fluoroquinolones	0.17658108954289292	0.05149162239476911	3.9502806445772225	2.766651769272416e-37	7.814833241007222e-38	1.1343272254016905e-35	True
KPC-3	0.07639323731997495	0.0053126277073968125	15.486205997392439	3.2644213472809514e-36	2.7131758734019496e-34	8.922751682567934e-35	True
catA1	0.10519724483406387	0.02125051082958725	5.414760187328417	3.5349154257599434e-30	2.8062050216153426e-30	7.246576622807884e-29	True
Salmonella serovars gyrB conferring resistance to fluoroquinolones	0.09204758922980588	0.015529219452390683	6.426914700544464	1.1600498622810715e-29	1.2032358317206736e-29	1.9024817741409573e-28	True
Escherichia coli parC conferring resistance to fluoroquinolones	0.24733876017532874	0.11156518185533307	2.6169144222388816	3.257450735463376e-29	1.0152569903894085e-29	4.451849338466614e-28	True
BRP(MBL)	0.052598622417031934	0.0036779730281977932	15.039435999118748	4.424226580459495e-25	1.0358200364646236e-23	5.18266542282398e-24	True
Mrx	0.1327489041953663	0.045361667347772784	3.22133541483722	4.8937177130831373e-23	2.2526544144117568e-23	5.0160606559102155e-22	True
qacEdelta1	0.18659987476518472	0.08295872496935022	2.5359105336807017	5.442505924533504e-22	2.237854194663534e-22	4.9587276201305254e-21	True
tet(A)	0.024420788979336257	0.09767061708214139	0.23125882877414988	9.665586962606103e-22	4.0371676079787277e-19	7.925781309337004e-21	True
sul1	0.18534752661239826	0.08663669799754802	2.398590344147463	7.105359018066793e-20	3.254977832156124e-20	5.296722177104337e-19	True
OXA-9	0.049467752035065746	0.005721291377196567	9.044184076792773	7.913399304919182e-20	3.0997052988362755e-19	5.407489525028108e-19	True
mphA	0.12210394489668128	0.04577033101757254	2.8997159669859385	1.4646950761755155e-18	5.671672276097454e-19	9.238845865107097e-18	True
SHV-12	0.06449592986850344	0.014303228442991417	4.751118760757315	1.7757271356503673e-17	1.8051417137584126e-17	1.0400687508809293e-16	True
adeF	0.09455228553537884	0.18921127911728647	0.4474755712489059	4.6701422726239393e-17	3.4911132480591377e-16	2.5530111090344204e-16	True
AAC(6')-Ib10	0.1696931747025673	0.08295872496935022	2.2591890867752937	1.3011484054085457e-16	7.954545097003193e-17	6.668385577718797e-16	True
NDM-1	0.036318096430807766	0.0032693093583980384	11.489766081871345	2.6322773406278744e-16	1.448140075772018e-15	1.2696867172440337e-15	True
aadA2	0.1058234189104571	0.04168369431957499	2.7208285274894273	4.21768067655822e-15	2.5814729368788793e-15	1.9213878637654114e-14	True
aadA	0.07388854101440201	0.024928483857785042	3.120717365521675	3.340119886838959e-13	2.4516895650950924e-13	1.4415254248462874e-12	True
dfrA12	0.08515967438948027	0.032693093583980384	2.7542094455852157	9.755058287982407e-13	6.873782387955748e-13	3.999573898072787e-12	True
APH(3')-Ia	0.07952410770194114	0.030241111565181854	2.7704633204633207	4.169795768799836e-12	3.054883279267673e-12	1.6282059668646977e-11	True
arr-3	0.040075140889167186	0.00939926440539436	4.399897898408917	9.928568431452274e-11	1.0358717325204886e-10	3.700648233541302e-10	True
dfrA27	0.036318096430807766	0.00858193706579485	4.35372381571212	7.882880020629041e-10	9.731479852177904e-10	2.810418094311223e-09	True
mphE	0.026925485284909206	0.004903964037597058	5.61481123981124	5.067976118019078e-09	7.8604465137031e-09	1.731558506989852e-08	True
msrE	0.026299311208515967	0.004903964037597058	5.480707395498392	9.99146779830506e-09	1.5647980548360675e-08	3.27720143784406e-08	True
CrcB	0.005009392611145898	0.02819779321618308	0.17351173374923615	2.0264244477833262e-08	2.5138757693335685e-07	6.391030950701259e-08	True
aadA16	0.033813400125234816	0.008990600735594606	3.8575973605137572	3.38898812483765e-08	2.637046561052776e-08	1.0292482453210642e-07	True
fosA5	0.02567313713212273	0.06048222313036371	0.4093092128117835	1.5978598412925487e-07	4.410269172685938e-07	4.3820148244683717e-07	True
marA	0.28115216030056356	0.360032693093584	0.6952168702812372	1.6031761552933066e-07	2.15915273578799e-07	4.3820148244683717e-07	True
Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline	0.28115216030056356	0.360032693093584	0.6952168702812372	1.6031761552933066e-07	2.15915273578799e-07	4.3820148244683717e-07	True
QnrS1	0.051972448340638695	0.02125051082958725	2.524959353724215	2.1495737203405502e-07	1.7234174997296794e-07	5.68596919573952e-07	True
QnrB1	0.033813400125234816	0.07029015120555783	0.4628931860314398	5.332223559126888e-07	1.1360657064153974e-06	1.366382287026265e-06	True
SHV-27	0.001878522229179712	0.0171638741315897	0.10777020971500269	7.629653862933325e-07	1.2067913760346166e-05	1.8958533841228261e-06	True
AAC(3)-IIe	0.03757044458359424	0.07437678790355537	0.48581867059420736	8.833668318060579e-07	1.975357742462597e-06	2.1304729472969634e-06	True
TEM-1	0.16844082654978085	0.11442582754393134	1.5676715791738383	1.2494364385574524e-06	1.2031777678078074e-06	2.927251084620317e-06	True
eptB	0.2748904195366312	0.3461381283203923	0.7161310976666605	1.857252942252247e-06	2.343264326261762e-06	4.230409479574562e-06	True
