gen	freq_resistant	freq_susceptible	odds_ratio	p_fisher	p_chi2	p_adj_fdr	significativo
RES_blaOXA-9	0.15028177833437695	0.012259910093992644	14.249078850405306	1.3360044409445042e-68	9.803652368114636e-66	2.511688348975668e-66	True
RES_blaKPC-2	0.10707576706324358	0.004086636697997548	29.223492286115007	2.5549925265130287e-58	1.5019275189016625e-53	2.4016929749222473e-56	True
RGI_KPC-2	0.1058234189104571	0.004086636697997548	28.84124649859944	1.67154489057151e-57	7.872747244308003e-53	1.0475014647581464e-55	True
RES_blaTEM-1A	0.10394489668127739	0.008990600735594606	12.7866717489359	4.954339356990262e-46	3.4502143441310234e-44	2.328539497785423e-44	True
RES_blaKPC-3	0.07827175954915466	0.0053126277073968125	15.899352006688963	2.3581993710448448e-37	2.489245111839779e-35	8.668842210386904e-36	True
RGI_Escherichia coli gyrA conferring resistance to fluoroquinolones	0.17658108954289292	0.05149162239476911	3.9502806445772225	2.766651769272416e-37	7.814833241007222e-38	8.668842210386904e-36	True
RGI_KPC-3	0.07639323731997495	0.0053126277073968125	15.486205997392439	3.2644213472809514e-36	2.7131758734019496e-34	8.767303046983127e-35	True
RES_catA1	0.10644959298685035	0.021659174499387004	5.38112678663511	1.93715748229139e-30	1.724592381381565e-30	4.552320083384766e-29	True
RGI_catA1	0.10519724483406387	0.02125051082958725	5.414760187328417	3.5349154257599434e-30	2.8062050216153426e-30	7.384045556031882e-29	True
RGI_Salmonella serovars gyrB conferring resistance to fluoroquinolones	0.09204758922980588	0.015529219452390683	6.426914700544464	1.1600498622810715e-29	1.2032358317206736e-29	2.180893741088414e-28	True
RGI_Escherichia coli parC conferring resistance to fluoroquinolones	0.24733876017532874	0.11156518185533307	2.6169144222388816	3.257450735463376e-29	1.0152569903894085e-29	5.567279438791951e-28	True
RES_aac(6')-Ib	0.09768315591734503	0.020024519820187985	5.298021498675806	8.825954076305384e-28	8.158605935375906e-28	1.3827328052878436e-26	True
RGI_BRP(MBL)	0.052598622417031934	0.0036779730281977932	15.039435999118748	4.424226580459495e-25	1.0358200364646236e-23	6.3981122855875774e-24	True
RGI_Mrx	0.1327489041953663	0.045361667347772784	3.22133541483722	4.8937177130831373e-23	2.2526544144117568e-23	6.571563786140213e-22	True
RES_mph(A)	0.13462742642454603	0.0469963220269718	3.154722204744227	1.2232180861550814e-22	4.509916049487749e-23	1.5331000013143686e-21	True
RGI_qacEdelta1	0.18659987476518472	0.08295872496935022	2.5359105336807017	5.442505924533504e-22	2.237854194663534e-22	6.394944461326867e-21	True
RGI_tet(A)	0.024420788979336257	0.09767061708214139	0.23125882877414988	9.665586962606103e-22	4.0371676079787277e-19	1.0689002052764395e-20	True
RES_sul1	0.1897307451471509	0.08868001634654679	2.4063205578387312	2.6438935649649025e-20	9.995035947976839e-21	2.761399945630009e-19	True
RGI_sul1	0.18534752661239826	0.08663669799754802	2.398590344147463	7.105359018066793e-20	3.254977832156124e-20	7.030565765245039e-19	True
RGI_OXA-9	0.049467752035065746	0.005721291377196567	9.044184076792773	7.913399304919182e-20	3.0997052988362755e-19	7.438595346624031e-19	True
RGI_mphA	0.12210394489668128	0.04577033101757254	2.8997159669859385	1.4646950761755155e-18	5.671672276097454e-19	1.3112508300999854e-17	True
RES_tet(A)	0.03005635566687539	0.09889660809154066	0.282346915365285	2.9450981727356075e-18	1.8442266325916348e-16	2.5167202567013373e-17	True
RES_blaSHV-12	0.07263619286161553	0.018389865140988965	4.180838772601096	1.551893784139361e-17	1.3131703000168743e-17	1.2685044844269558e-16	True
RGI_SHV-12	0.06449592986850344	0.014303228442991417	4.751118760757315	1.7757271356503673e-17	1.8051417137584126e-17	1.3909862562594546e-16	True
PF_ompK36 p.T184P	0.024420788979336257	0.08622803432774827	0.2652689984121093	4.441365590259972e-17	2.5483096541998744e-15	3.339906923875499e-16	True
RGI_adeF	0.09455228553537884	0.18921127911728647	0.4474755712489059	4.6701422726239393e-17	3.4911132480591377e-16	3.3768721048203866e-16	True
RES_aadA1	0.08954289292423294	0.028606456885982835	3.339663981135783	6.913111715976585e-17	4.163671532976853e-17	4.813574083717029e-16	True
RGI_AAC(6')-Ib10	0.1696931747025673	0.08295872496935022	2.2591890867752937	1.3011484054085457e-16	7.954545097003193e-17	8.736282150600236e-16	True
RGI_NDM-1	0.036318096430807766	0.0032693093583980384	11.489766081871345	2.6322773406278744e-16	1.448140075772018e-15	1.6495604667934678e-15	True
RES_blaNDM-1	0.036318096430807766	0.0032693093583980384	11.489766081871345	2.6322773406278744e-16	1.448140075772018e-15	1.6495604667934678e-15	True
RES_dfrA12	0.09455228553537884	0.0343277482631794	2.937602911150629	3.831216809067049e-15	2.1315227029699985e-15	2.323447613240662e-14	True
RGI_aadA2	0.1058234189104571	0.04168369431957499	2.7208285274894273	4.21768067655822e-15	2.5814729368788793e-15	2.4778873974779543e-14	True
RGI_aadA	0.07388854101440201	0.024928483857785042	3.120717365521675	3.340119886838959e-13	2.4516895650950924e-13	1.90285617795674e-12	True
RES_ARR-3	0.045084533500313086	0.00939926440539436	4.9758517462580185	4.556638850015947e-13	5.276680586131107e-13	2.5195532464794058e-12	True
PF_ompK36 p.F207Y	0.19787100814026298	0.1148344912137311	1.9014726595381166	6.132156794057326e-13	4.78081283058866e-13	3.293844220807935e-12	True
RGI_dfrA12	0.08515967438948027	0.032693093583980384	2.7542094455852157	9.755058287982407e-13	6.873782387955748e-13	5.094308217057479e-12	True
RES_aph(3')-Ia	0.08140262993112085	0.030241111565181854	2.841706737412259	1.0659633555968138e-12	6.328215417883908e-13	5.416246239248676e-12	True
PF_ompK36 p.D223G	0.19912335629304947	0.11687780956272988	1.878647544792971	1.4834891063571828e-12	1.0206643716777518e-12	7.151178256285907e-12	True
PF_ompK36 p.T222L	0.19912335629304947	0.11687780956272988	1.878647544792971	1.4834891063571828e-12	1.0206643716777518e-12	7.151178256285907e-12	True
RGI_APH(3')-Ia	0.07952410770194114	0.030241111565181854	2.7704633204633207	4.169795768799836e-12	3.054883279267673e-12	1.9598040113359227e-11	True
PF_ompK36 p.N218H	0.056355666875391355	0.1193297915815284	0.4407513794075138	6.204222289200846e-12	3.171122274209438e-11	2.8448629033408755e-11	True
PF_ompK36 p.G189T	0.19849718221665624	0.11892112791172865	1.8348689862542955	8.617976155569339e-12	6.14875109715577e-12	3.857570279159609e-11	True
RES_aadA2b	0.058860363180964305	0.01879852881078872	3.2643987387543754	2.3465085382546952e-11	1.7654791490183943e-11	1.0259153609113552e-10	True
RES_aadA2	0.07764558547276143	0.030241111565181854	2.6995101007320965	2.4092690268447344e-11	1.4336663462768008e-11	1.0294149478336592e-10	True
RGI_arr-3	0.040075140889167186	0.00939926440539436	4.399897898408917	9.928568431452274e-11	1.0358717325204886e-10	4.1479352558067273e-10	True
RES_blaSHV-159	0.06512210394489668	0.023702492848385777	2.8692057186410143	1.1677683681582194e-10	8.938129325781725e-11	4.772618548124897e-10	True
RES_blaSHV-182	0.06449592986850344	0.023702492848385777	2.839715182569358	1.8614339393428856e-10	1.5174489807976028e-10	7.290616262426303e-10	True
RES_blaSHV-158	0.06449592986850344	0.023702492848385777	2.839715182569358	1.8614339393428856e-10	1.5174489807976028e-10	7.290616262426303e-10	True
PF_ompK36 p.F198Y	0.2016280525986224	0.12627707396812424	1.7474103686782156	1.9696863240456437e-10	1.4508961029673386e-10	7.557163855522061e-10	True
PF_ompK36 p.L191Q	0.0068879148403256105	0.03637106661217818	0.18375674794904856	2.6230972525874966e-10	6.704172467222428e-09	9.483505451662488e-10	True
PF_ompK36 p.L229V	0.0068879148403256105	0.03637106661217818	0.18375674794904856	2.6230972525874966e-10	6.704172467222428e-09	9.483505451662488e-10	True
PF_ompK36 p.Q227N	0.0068879148403256105	0.03637106661217818	0.18375674794904856	2.6230972525874966e-10	6.704172467222428e-09	9.483505451662488e-10	True
RES_fosA	0.05385097056981841	0.10993052717613404	0.4608287674771625	2.955498767306645e-10	1.0371115759121259e-09	1.0483656004785836e-09	True
RGI_dfrA27	0.036318096430807766	0.00858193706579485	4.35372381571212	7.882880020629041e-10	9.731479852177904e-10	2.7444100812560365e-09	True
RES_dfrA27	0.036318096430807766	0.008990600735594606	4.15411424183354	2.026244701257006e-09	2.164429357395181e-09	6.9260727970239476e-09	True
RES_aac(6')-Ib3	0.026925485284909206	0.004495300367797303	6.127764127764128	2.469268290591049e-09	2.946256069103483e-09	8.289686404127093e-09	True
PF_ompK36 p.N304E	0.19724483406386975	0.12791172864732325	1.6752229194599093	4.086462168751933e-09	3.4963971579519966e-09	1.324577392629937e-08	True
PF_ompK36 p.F207W	0.053224796493425174	0.10461789946873723	0.4811378761574074	4.024145561186813e-09	1.2588473372531197e-08	1.324577392629937e-08	True
RGI_mphE	0.026925485284909206	0.004903964037597058	5.61481123981124	5.067976118019078e-09	7.8604465137031e-09	1.5879658503126444e-08	True
RES_mph(E)	0.026925485284909206	0.004903964037597058	5.61481123981124	5.067976118019078e-09	7.8604465137031e-09	1.5879658503126444e-08	True
RES_msr(E)	0.026299311208515967	0.004903964037597058	5.480707395498392	9.99146779830506e-09	1.5647980548360675e-08	3.0296708807763735e-08	True
RGI_msrE	0.026299311208515967	0.004903964037597058	5.480707395498392	9.99146779830506e-09	1.5647980548360675e-08	3.0296708807763735e-08	True
RGI_CrcB	0.005009392611145898	0.02819779321618308	0.17351173374923615	2.0264244477833262e-08	2.5138757693335685e-07	6.047107875924847e-08	True
RGI_aadA16	0.033813400125234816	0.008990600735594606	3.8575973605137572	3.38898812483765e-08	2.637046561052776e-08	9.801996422607357e-08	True
RES_aadA16	0.033813400125234816	0.008990600735594606	3.8575973605137572	3.38898812483765e-08	2.637046561052776e-08	9.801996422607357e-08	True
RES_fosA7	0.002504696305572949	0.02125051082958725	0.1156502003959631	5.0444140157480296e-08	1.2408758455957773e-06	1.4368936893342871e-07	True
PF_ompK36 p.T254S	0.043832185347526614	0.08786268900694728	0.47589893544112943	5.159103712096936e-08	1.2577743758763313e-07	1.447629101304812e-07	True
RGI_marA	0.28115216030056356	0.360032693093584	0.6952168702812372	1.6031761552933066e-07	2.15915273578799e-07	4.305673102787738e-07	True
RGI_fosA5	0.02567313713212273	0.06048222313036371	0.4093092128117835	1.5978598412925487e-07	4.410269172685938e-07	4.305673102787738e-07	True
RGI_Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline	0.28115216030056356	0.360032693093584	0.6952168702812372	1.6031761552933066e-07	2.15915273578799e-07	4.305673102787738e-07	True
RGI_QnrS1	0.051972448340638695	0.02125051082958725	2.524959353724215	2.1495737203405502e-07	1.7234174997296794e-07	5.612775825333659e-07	True
RES_qnrS1	0.051972448340638695	0.02125051082958725	2.524959353724215	2.1495737203405502e-07	1.7234174997296794e-07	5.612775825333659e-07	True
RES_blaSHV-27	0.001878522229179712	0.01798120147118921	0.10278601574084635	4.6367603535173795e-07	6.1734402541708675e-06	1.194124584193517e-06	True
RES_aac(3)-IIa	0.03757044458359424	0.07519411524315488	0.4801137167265424	4.935342701542822e-07	1.2702770491930727e-06	1.2538438214730412e-06	True
RGI_QnrB1	0.033813400125234816	0.07029015120555783	0.4628931860314398	5.332223559126888e-07	1.1360657064153974e-06	1.319023722520862e-06	True
RES_blaSHV-110	0.0031308703819661866	0.02043318348998774	0.15056532663316582	5.322960463837921e-07	6.642007686062616e-06	1.319023722520862e-06	True
RGI_SHV-27	0.001878522229179712	0.0171638741315897	0.10777020971500269	7.629653862933325e-07	1.2067913760346166e-05	1.8628245795213834e-06	True
RGI_AAC(3)-IIe	0.03757044458359424	0.07437678790355537	0.48581867059420736	8.833668318060579e-07	1.975357742462597e-06	2.1291405689684474e-06	True
RGI_TEM-1	0.16844082654978085	0.11442582754393134	1.5676715791738383	1.2494364385574524e-06	1.2031777678078074e-06	2.973342410744317e-06	True
RGI_eptB	0.2748904195366312	0.3461381283203923	0.7161310976666605	1.857252942252247e-06	2.343264326261762e-06	4.36454441429278e-06	True
RES_qnrB1	0.03757044458359424	0.0723334695545566	0.5006451043745795	2.803855525223158e-06	5.83575583550146e-06	6.5077140585426385e-06	True
PF_ompK37 p.N230G	0.19787100814026298	0.14344094809971394	1.4730656916449265	6.361768361303024e-06	6.307050653127337e-06	1.4585517706402055e-05	True
PF_ompK36 p.L228V	0.049467752035065746	0.08663669799754802	0.5486520247594899	6.665384811490777e-06	1.0389179478543249e-05	1.4917766006669834e-05	True
PF_ompK36 p.D224E	0.049467752035065746	0.08663669799754802	0.5486520247594899	6.665384811490777e-06	1.0389179478543249e-05	1.4917766006669834e-05	True
PF_ompK36 p.L191S	0.050093926111458985	0.08663669799754802	0.5559632342881308	9.308806944847151e-06	1.5133500015649383e-05	2.0588890654485463e-05	True
RGI_AAC(3)-IId	0.040075140889167186	0.0171638741315897	2.3905818034976547	1.2006835951081982e-05	1.3170394718923072e-05	2.624750184655131e-05	True
RES_armA	0.026299311208515967	0.00858193706579485	3.120257234726688	1.2662268408807762e-05	1.577806611795064e-05	2.736214322822827e-05	True
RES_blaSHV-81	0.0031308703819661866	0.0171638741315897	0.1798426657094999	1.5619507696358946e-05	8.85231360343812e-05	3.33689482604032e-05	True
PF_ompK36 p.D91K	0.003757044458359424	0.018389865140988965	0.20129897339199665	1.7575416584566458e-05	8.417858786444088e-05	3.591498171628798e-05	True
PF_ompK36 p.A93S	0.003757044458359424	0.018389865140988965	0.20129897339199665	1.7575416584566458e-05	8.417858786444088e-05	3.591498171628798e-05	True
PF_ompK36 p.H235D	0.003757044458359424	0.018389865140988965	0.20129897339199665	1.7575416584566458e-05	8.417858786444088e-05	3.591498171628798e-05	True
PF_ompK36 p.S89T	0.003757044458359424	0.018389865140988965	0.20129897339199665	1.7575416584566458e-05	8.417858786444088e-05	3.591498171628798e-05	True
RGI_CRP	0.28240450845335	0.34654679199019206	0.7420694211202212	1.9286678591418417e-05	2.2783145863018274e-05	3.8988124464372714e-05	True
RES_aac(3)-IId	0.040075140889167186	0.017572537801389457	2.334015989320226	2.038358157415493e-05	2.060391194149424e-05	4.033803511516976e-05	True
RGI_SHV-1	0.039448966812773954	0.07151614221495708	0.5331942633637549	2.0319054013526e-05	3.083144583067829e-05	4.033803511516976e-05	True
PF_ompK36 p.T86V	0.003757044458359424	0.01798120147118921	0.20595965944803155	2.798677635096939e-05	0.00011532832236773285	5.4807437020648394e-05	True
RGI_msbA	0.284909204758923	0.34736411932979155	0.7485680436798187	3.1369099871758606e-05	3.8152994248558934e-05	6.079784305041874e-05	True
RGI_Klebsiella pneumoniae OmpK37	0.2943018159048215	0.3559460563955864	0.7545916584574228	4.758812457870391e-05	5.4330921788289867e-05	9.129150429384016e-05	True
PF_acrR p.R173G	0.2886662492172824	0.34736411932979155	0.7624451118475559	0.00010236472606813983	0.00011157033791483062	0.00019054028218624047	True
PF_acrR p.F172S	0.2886662492172824	0.34736411932979155	0.7624451118475559	0.00010236472606813983	0.00011157033791483062	0.00019054028218624047	True
RGI_ArnT	0.28741390106449594	0.34572946465059257	0.763293198220095	0.00010129434123576212	0.00012146383393240628	0.00019054028218624047	True
RGI_PmrF	0.28804007514088914	0.3461381283203923	0.7642473461614743	0.00011652388751306377	0.0001296318841151607	0.00020863324621386658	True
PF_acrR p.L195V	0.28804007514088914	0.3461381283203923	0.7642473461614743	0.00011652388751306377	0.0001296318841151607	0.00020863324621386658	True
PF_acrR p.F197I	0.28804007514088914	0.3461381283203923	0.7642473461614743	0.00011652388751306377	0.0001296318841151607	0.00020863324621386658	True
PF_acrR p.K201M	0.28804007514088914	0.3461381283203923	0.7642473461614743	0.00011652388751306377	0.0001296318841151607	0.00020863324621386658	True
PF_acrR p.P161R	0.28929242329367566	0.34736411932979155	0.7647722207825861	0.00011842142683946214	0.00013258802810195476	0.00021003045514923476	True
