	importance
RES_blaOXA-9	0.10146095926988416
RES_blaKPC-2	0.08189671275413368
RGI_BRP(MBL)	0.04089875915300817
RGI_Escherichia coli gyrA conferring resistance to fluoroquinolones	0.03892076805971769
RGI_Escherichia coli parC conferring resistance to fluoroquinolones	0.027447513491433234
RES_blaKPC-3	0.02725639488076983
RGI_tet(A)	0.023619679698655544
RGI_adeF	0.02091919862325562
RGI_Salmonella serovars gyrB conferring resistance to fluoroquinolones	0.01870956009886197
RES_blaTEM-1A	0.015173955329465518
RES_ARR-3	0.014779393213482189
PF_ompK36 p.T184P	0.014511273772034225
RGI_eptB	0.013570566480678163
RGI_Salmonella isangi gyrA conferring resistance to fluoroquinolones	0.013026606314135311
PF_ompK36 p.N49S	0.012414028170917283
RGI_FosA6	0.011622615249300996
RGI_Escherichia coli UhpT with mutation conferring resistance to fosfomycin	0.011313259194983036
RES_catA1	0.010977180148127564
RGI_CRP	0.010687152577471156
PF_ompK37 p.N230G	0.010666727184904981
RGI_acrD	0.010367411300261925
RGI_catA1	0.010124221713955632
RES_qnrS1	0.009992920724734403
RGI_msbA	0.009712420481799563
RGI_Klebsiella pneumoniae OmpK37	0.008430424929295187
RES_aac(3)-IIa	0.007921611557957035
RES_fosA6	0.007740595591666181
RGI_QnrS1	0.007611724851487793
RES_mph(A)	0.007465926021323093
RGI_Escherichia coli mdfA	0.007339801012326911
RGI_Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	0.0072773479109382805
RGI_rsmA	0.00719438375012564
RGI_MdtQ	0.007181720408419717
RES_blaTEM-1B	0.007041898998474319
RES_aac(6')-Ib	0.007038977158489345
RGI_LptD	0.006712017452411404
PF_ompK36 p.L59V	0.006699205582369412
RGI_marA	0.006643911577123906
RGI_qacEdelta1	0.006602106661668441
RGI_Mrx	0.006404432276177333
RGI_Klebsiella pneumoniae KpnF	0.005987148282118867
RES_blaSHV-159	0.005868895158921894
RES_dfrA12	0.005612408638859056
RGI_vanG	0.005580432222992538
RGI_mphE	0.005466952783969702
RES_blaCTX-M-15	0.005384638190244824
PF_ompK37 p.I70M	0.005258412017574975
RGI_mdtB	0.005241502611011007
RGI_Klebsiella pneumoniae KpnE	0.00504394406505574
RES_dfrA14	0.004980137604957989
RGI_AAC(3)-IId	0.0049698885547222104
RGI_Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline	0.004960471094601111
RGI_AAC(6')-Ib10	0.004908891117762448
RES_fosA	0.004776552140073665
RES_catA2	0.004714259139106759
RGI_QnrB1	0.004706772562421495
RGI_catII from Escherichia coli K-12	0.0045922265665648086
RGI_emrR	0.004590663379989489
