genome_id	genome_name	antibiotic	resistant_phenotype	evidence	laboratory_typing_method	testing_standard
573.14023	Klebsiella pneumoniae KPN286ec	ceftriaxone	Resistant	Laboratory Method	Broth dilution	CLSI
573.1324	Klebsiella pneumoniae KPN1261ec	ceftazidime	Resistant	Laboratory Method	Broth dilution	CLSI
573.5806	Klebsiella pneumoniae strain PB107	ceftazidime	Resistant	Laboratory Method	Broth dilution	EUCAST
573.14047	Klebsiella pneumoniae KPN313ec	ceftazidime	Resistant	Laboratory Method	Broth dilution	CLSI
1284832.3	Klebsiella pneumoniae VAKPC309	ceftazidime	Resistant	Laboratory Method		
1438757.3	Klebsiella pneumoniae CHS 51	ceftazidime	Resistant	Laboratory Method	Broth dilution	
72407.562	Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864789	ceftazidime	Resistant	Laboratory Method	Broth dilution	CLSI
573.13426	Klebsiella pneumoniae KPN1488ec	ceftazidime	Resistant	Laboratory Method	Broth dilution	CLSI
573.7029	Klebsiella pneumoniae strain AR_0005	ceftazidime	Resistant	Laboratory Method	Broth dilution	CLSI
573.12957	Klebsiella pneumoniae 3252	ceftazidime	Resistant	Laboratory Method	Broth dilution	CLSI
573.66552	Klebsiella pneumoniae 29109_2#205	ceftazidime	Resistant	Laboratory Method	MIC	
573.14192	Klebsiella pneumoniae KPN485ec	ceftazidime	Resistant	Laboratory Method	Broth dilution	CLSI
573.6633	Klebsiella pneumoniae 26994_6#76	ceftazidime	Resistant	Laboratory Method	MIC	
573.18472	Klebsiella pneumoniae strain 203	ceftazidime	Resistant	Laboratory Method	Broth dilution	CLSI
573.66267	Klebsiella pneumoniae 26968_6#130	ceftazidime	Resistant	Laboratory Method	MIC	
573.13922	Klebsiella pneumoniae KPN2101ec	ceftazidime	Resistant	Laboratory Method	Broth dilution	CLSI
72407.558	Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864881	ceftazidime	Resistant	Laboratory Method	Broth dilution	CLSI
