genome_id	genome_name	antibiotic	resistant_phenotype	evidence	laboratory_typing_method	testing_standard
573.15473	Klebsiella pneumoniae strain 10315_6#65	ciprofloxacin	Resistant	Laboratory Method	Disk diffusion	CLSI
573.24442	Klebsiella pneumoniae strain MUGSI_83	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.13493	Klebsiella pneumoniae KPN1565ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.13572	Klebsiella pneumoniae KPN1666ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.13151	Klebsiella pneumoniae KPN1153ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.15699	Klebsiella pneumoniae strain K809	ciprofloxacin	Resistant	Laboratory Method	Disk diffusion	EUCAST
573.1389	Klebsiella pneumoniae KPN2066ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
72407.2895	Klebsiella pneumoniae subsp. pneumoniae MRSN752035	ciprofloxacin	Resistant	Laboratory Method		
573.13898	Klebsiella pneumoniae KPN2076ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.13487	Klebsiella pneumoniae KPN1559ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.14136	Klebsiella pneumoniae KPN416ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.13987	Klebsiella pneumoniae KPN246ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.5822	Klebsiella pneumoniae strain W2-13-ERG2	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	EUCAST
573.13644	Klebsiella pneumoniae KPN1747ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.17908	Klebsiella pneumoniae strain AR_0066	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.14186	Klebsiella pneumoniae KPN479ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.13091	Klebsiella pneumoniae KPN1079ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.31128	Klebsiella pneumoniae strain 1027734	ciprofloxacin	Resistant	Laboratory Method	Disk diffusion	British Society for Antimicrobial Chemotherapy (BSAC)
573.13433	Klebsiella pneumoniae KPN1496ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.13317	Klebsiella pneumoniae KPN1358ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.24402	Klebsiella pneumoniae strain MUGSI_320	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.67401	Klebsiella pneumoniae MGL_121	ciprofloxacin	Resistant	Laboratory Method	Disk diffusion	CLSI, EUCAST
72407.566	Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864886	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.24311	Klebsiella pneumoniae strain 523	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.46842	Klebsiella pneumoniae KP-16PI	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	EUCAST
573.24244	Klebsiella pneumoniae strain 101	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.15728	Klebsiella pneumoniae strain K1603	ciprofloxacin	Resistant	Laboratory Method	Disk diffusion	EUCAST
573.13818	Klebsiella pneumoniae KPN1985ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.29994	Klebsiella pneumoniae strain Kpngiani7132551	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	EUCAST
573.13139	Klebsiella pneumoniae KPN1139ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.15595	Klebsiella pneumoniae strain KSB1_6J	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.15509	Klebsiella pneumoniae strain 10356_5#86	ciprofloxacin	Resistant	Laboratory Method	Disk diffusion	CLSI
573.13793	Klebsiella pneumoniae KPN1946ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
72407.539	Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864772	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.46869	Klebsiella pneumoniae KP-7PI	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	EUCAST
573.12772	Klebsiella pneumoniae strain AR_0113	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.24401	Klebsiella pneumoniae strain MUGSI_32	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.14451	Klebsiella pneumoniae KPN866ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.1412	Klebsiella pneumoniae KPN399ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.66891	Klebsiella pneumoniae KP_NORM_BLD_2011_75461	ciprofloxacin	Resistant	Laboratory Method		EUCAST
573.13186	Klebsiella pneumoniae KPN1194ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.14072	Klebsiella pneumoniae KPN342ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.13952	Klebsiella pneumoniae KPN2160ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.14026	Klebsiella pneumoniae KPN289ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
1438738.3	Klebsiella pneumoniae CHS 32	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	
573.9724	Klebsiella pneumoniae strain AR_0098	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
72407.586	Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864813	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.66905	Klebsiella pneumoniae KP_NORM_BLD_2013_90216	ciprofloxacin	Resistant	Laboratory Method		EUCAST
573.12778	Klebsiella pneumoniae strain AR_0125	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.13292	Klebsiella pneumoniae KPN1331ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.46847	Klebsiella pneumoniae KP-20LU	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	EUCAST
573.13254	Klebsiella pneumoniae KPN1275ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
1284801.3	Klebsiella pneumoniae UHKPC48	ciprofloxacin	Resistant	Laboratory Method		
1438747.3	Klebsiella pneumoniae CHS 41	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	
573.15485	Klebsiella pneumoniae strain 10315_6#76	ciprofloxacin	Resistant	Laboratory Method	Disk diffusion	CLSI
573.13942	Klebsiella pneumoniae KPN213ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.13127	Klebsiella pneumoniae KPN1125ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
1284809.4	Klebsiella pneumoniae UHKPC02	ciprofloxacin	Resistant	Laboratory Method		
573.13287	Klebsiella pneumoniae KPN1327ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.14344	Klebsiella pneumoniae KPN718ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.1359	Klebsiella pneumoniae KPN1687ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.13448	Klebsiella pneumoniae KPN1515ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.30017	Klebsiella pneumoniae strain Kpngiani7132538	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	EUCAST
573.23214	Klebsiella pneumoniae strain KP_093	ciprofloxacin	Resistant	Laboratory Method	Disk diffusion	CLSI
573.13603	Klebsiella pneumoniae KPN169ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.5623	Klebsiella pneumoniae strain 18_GR_14	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
72407.49	Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864753	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.13477	Klebsiella pneumoniae KPN1548ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.15496	Klebsiella pneumoniae strain 10315_6#9	ciprofloxacin	Resistant	Laboratory Method	Disk diffusion	CLSI
72407.587	Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864815	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
1284788.3	Klebsiella pneumoniae UHKPC23	ciprofloxacin	Resistant	Laboratory Method		
573.12916	Klebsiella pneumoniae 3338	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.13612	Klebsiella pneumoniae KPN1709ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.2609	Klebsiella pneumoniae strain 5012STDY7312573	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	
573.13668	Klebsiella pneumoniae KPN1774ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.24309	Klebsiella pneumoniae strain 469	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.1416	Klebsiella pneumoniae KPN443ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.14487	Klebsiella pneumoniae KPN913ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.30003	Klebsiella pneumoniae strain Kpngiani7132536	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	EUCAST
573.14444	Klebsiella pneumoniae KPN854ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
72407.693	Klebsiella pneumoniae subsp. pneumoniae strain AUSMDU00008079	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	
573.30007	Klebsiella pneumoniae strain Kpngiani7132533	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	EUCAST
573.13652	Klebsiella pneumoniae KPN1756ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.33396	Klebsiella pneumoniae strain PMK16	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	EUCAST
573.66192	Klebsiella pneumoniae KP_NORM_URN_2015_107575	ciprofloxacin	Resistant	Laboratory Method		EUCAST
573.243	Klebsiella pneumoniae strain 402	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.24407	Klebsiella pneumoniae strain MUGSI_38	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.62723	Klebsiella pneumoniae MGL_170	ciprofloxacin	Resistant	Laboratory Method	Disk diffusion	
573.14505	Klebsiella pneumoniae KPN934ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.14121	Klebsiella pneumoniae KPN400ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
573.13372	Klebsiella pneumoniae KPN1430ec	ciprofloxacin	Resistant	Laboratory Method	Broth dilution	CLSI
